"['91205', 0.09199195279750295]","['118698', 0.7868328458346502]","['130391', 0.20132381339692604]","['131318', 0.43045979037609955]","['134568', 0.18494829435581422]","['456826', 0.616455363692029]","['1997RX9', 0.24684456756511824]","['1998HN151', 0.12081520336745101]","['1998HO151', 0.43370469893188995]","['1998WZ31', 0.09226415022412104]","['1999CK158', 0.115933433747379]","['1999CW131', 0.5903564505561333]","['1999OH4', 0.08950993969564347]","['1999RV215', 0.5549276320122524]","['1999RW215', 0.31514625988367756]","['2000FT53', 0.33211218847962953]","['2000FX53', 0.7269004503299805]","['2000KL4', 0.6040089200722001]","['2001FU172', 0.11753173590173013]","['2003QX91', 0.5896077779857957]","['2003YM179', 0.1441094324346228]","['2004FW164', 0.6504453272391406]","['2004HL79', 0.6110221423249497]","['2004HX78', 0.4917810107585754]","['2004HY78', 0.6609072482377074]","['2004PS107', 0.5335488155233165]","['2004QG29', 0.3781975209360368]","['2004TX357', 0.606978699266546]","['2005TN53', 0.828082083946436]","['2006SF415', 0.3774526212444819]","['2006SH415', 0.28023063449108143]","['2007FP51', 0.5683533757851885]","['2007RW326', 0.5778484428062597]","['2007TD418', 0.521532098859334]","['2008LC18', 0.7502917521137293]","['2009JZ18', 0.42132286492824594]","['2011UB412', 0.5383750955135477]","['2011UG411', 0.6224004070804325]","['2011UH411', 0.6097530839396184]","['2011UH412', 0.7345207929981613]","['2011UJ412', 0.4290019214365636]","['2011UL412', 0.5074772401756964]","['2011UM412', 0.4197590812237492]","['2011UN412', 0.3695770765343512]","['2011UT412', 0.3707990427868623]","['2011UX411', 0.5203822171488591]","['2012UM177', 0.5078721280643781]","['2013GD137', 0.47853977903423733]","['2013GF137', 0.07130162913095404]","['2013GO136', 0.4140697679154289]","['2013GV136', 0.293421602916868]","['2013GZ137', 0.41062590033469254]","['2013HR156', 0.40526825269400973]","['2013JD65', 0.3119922959815457]","['2013JO65', 0.7006633580022801]","['2013JP65', 0.5156843758095527]","['2013JQ65', 0.519880939512927]","['2013JU64', 1.035040454483252]","['2014DP143', 0.5130863991801562]","['2014QO441', 0.49028501225785787]","['2014TT85', 0.0076405464684353675]","['2015FJ345', 0.1831028976236054]","['2015RS245', 0.5363829864947132]"
"['16684', 0.23584507903982355]","['33340', 0.33841210421499385]","['53311', 0.052880081195023076]","['66452', 0.2591557118724232]","['80806', 0.3597689005639293]","['119069', 0.47816304136268717]","['119473', 0.07741115954676128]","['123509', 0.1297680958466989]","['182933', 0.48387642135539305]","['385194', 0.33751305753620875]","['385447', 0.5700373021185975]","['444025', 0.3782773034454232]","['450265', 0.5428681871782821]","['469505', 0.3370762934126943]","['469506', 0.2353351027526749]","['1994EV3', 0.4538585302500284]","['1998WY24', 0.5696981284504026]","['1999RC215', 0.4158399464458055]","['2000CE105', 0.22183206013345727]","['2000CF105', 0.5352972146355476]","['2000CL105', 0.41302232539125816]","['2000OU69', 0.41945730082406885]","['2000PY29', 0.46088298426015484]","['2000QC226', 0.38593116764929064]","['2000YA2', 0.3342604860296554]","['2000YF2', 0.25293088634848215]","['2001DB106', 0.1913409803780186]","['2001FK193', 0.16265722162804527]","['2001FQ185', 0.1839089029375188]","['2001HA59', 0.35412904347960517]","['2001QR297', 0.481123755130324]","['2001QZ297', 0.140409886818172]","['2001RW143', 0.566282043802175]","['2002CP154', 0.0633560330502884]","['2002CU154', 0.3046204786380079]","['2002CY154', 0.4850217125271179]","['2002CZ224', 0.2972098069958251]","['2002FX36', 0.3882784606038716]","['2002PA171', 0.43434079761290173]","['2002PD155', 0.13201083093105936]","['2002PO149', 0.14715520383584244]","['2002VD131', 0.14426035715104626]","['2002VF131', 0.2618245292640376]","['2003KO20', 0.26996558432544365]","['2003QA92', 0.20395551646166662]","['2003QE112', 0.2223582965657967]","['2003QJ91', 0.45395612298344645]","['2003QV90', 0.34612191929009367]","['2003QY90', 0.21612082262435237]","['2003SN317', 0.40039244681873565]","['2003UT291', 0.4327044819485155]","['2003YX179', 0.2406994432754589]","['2004EP95', 0.28360210445073103]","['2004HK79', 0.2106773728759297]","['2004HP79', 0.28282536163293276]","['2004KE19', 0.1757894442641598]","['2004KF19', 0.2664487626554388]","['2004MT8', 0.5096895470925612]","['2004PT117', 0.26119101652442617]","['2004SC60', 0.5463464748324794]","['2004VB131', 0.15168215393762044]","['2004VF131', 0.5154449215224713]","['2005BW49', 0.44906296464825435]","['2005EW318', 0.4490395341911098]","['2006BR284', 0.22173020971911367]","['2006CH69', 0.5839110550361845]","['2006HW122', 0.37084455115880377]","['2006JV58', 0.04566252648052929]","['2006TP130', 0.4971566292109311]","['2006UO321', 0.44662205546588174]","['2007CS79', 0.15474260421131494]","['2010TD192', 0.31610134029848774]","['2010TG192', 0.35351889728948294]","['2010TL182', 0.11564896304747942]","['2013EM149', 0.28198901216880756]","['2013GN137', 0.4299816679976927]","['2013UM15', 0.3071632933945564]","['2014DJ143', 0.23883265359515599]","['2014OG394', 0.4414424649902117]","['2015GR50', 0.049526509515236294]","['2015GS50', 0.0940446750892379]"
"['20000', 0.03377417139570416]","['28978', 0.14118529575526675]","['50000', 1.8375146149707515]","['84522', 0.16212711543729996]","['84922', 0.8515538600279817]","['90482', 1.5527124274338961]","['145452', 0.72557358320421]","['208996', 0.615487880119257]","['230965', 0.619064691169977]","['2010RF43', 0.6639160900944683]","['2013FZ27', 0.5731097769522348]","['2014EZ51', 0.9199362890880651]","['2014WK509', 0.5676169103547957]"
"['47932', 0.5135299167143502]","['119066', 0.36633238939477525]","['133067', 0.42161333827067043]","['138537', 0.2457570214877439]","['149348', 0.159195983245009]","['182397', 0.3576722764136118]","['183595', 0.2738835625530034]","['184314', 0.2568857471239767]","['303712', 0.5827327067123231]","['385362', 0.2640459509020789]","['385363', 0.14805052166813693]","['385445', 0.43750988821151254]","['1998WW31', 0.35675665820733826]","['1999GS46', 0.3907864322997963]","['2000CK105', 0.31860677898171597]","['2001KH76', 0.20788234443948486]","['2003LD9', 0.29624974295667816]","['2003QO91', 0.4859247508198661]","['2004PV117', 0.278852549684855]","['2004PW107', 0.2713211642458107]","['2004VT75', 0.2080373536837026]","['2005EX297', 0.34156606116068117]","['2005JR179', 0.544746920664032]","['2005SD278', 0.2286528221477974]","['2010LB136', 0.156558951569904]","['2010RE188', 0.36540226347159444]","['2010TP182', 0.5163334763410458]","['2011VJ24', 0.39805477572507075]","['2012CS57', 0.17073445394158165]","['2012DB99', 0.039435323468673865]","['2012DW98', 0.4305952295084955]","['2012TC324', 0.27442168225038815]","['2012TE324', 0.12829792948746077]","['2013BN82', 0.41828167534581323]","['2013EC138', 0.3929373314416608]","['2013FD28', 0.0710686337757883]","['2013GG138', 0.5833621083678521]","['2013PX74', 0.4518195915071968]","['2013TM159', 0.41616509587199996]","['2013UK15', 0.42341576412856824]","['2014BX64', 0.5323793208635799]","['2014DL143', 0.2097864331295544]","['2014GE54', 0.27134622008183906]","['2014GV53', 0.4501486624921774]","['2014KS101', 0.3806016361745984]","['2014KU101', 0.1453769154845748]","['2014LP28', 0.3524258809389516]","['2014LQ28', 0.3658230801270615]","['2014LT28', 0.3630795643585396]","['2014QF433', 0.5410798150459126]","['2014UD225', 0.4863295393855604]","['2014UE225', 0.4729685567783602]","['2014WN509', 0.19232137118555465]","['2015BG519', 0.30032214590099326]","['2015BW518', 0.3677644885366762]","['2015FL345', 0.44616689225000916]","['2015FM345', 0.26488921008071437]","['2016FP59', 0.6286594229980595]","['2016FW59', 0.33056809938853754]"
"['86047', 0.49230524415085]","['143991', 0.41920735944374826]","['432949', 0.07419701001901997]","['469361', 0.1904325489308752]","['469615', 0.31286563534768613]","['470027', 0.11737716479070878]","['470523', 0.6524482670839851]","['2000CO105', 0.5289177791473396]","['2000KK4', 0.3769320148748822]","['2001QC298', 0.40166864602432606]","['2002CX224', 0.49859368269102844]","['2002PP149', 0.6213184445368911]","['2003QA112', 0.35099422132069646]","['2003SQ317', 0.44888448061925557]","['2003YK179', 0.6192765349131648]","['2004KH19', 0.39158634407636983]","['2004PB108', 0.2636002522722665]","['2005JA175', 0.4796862377747885]","['2005RQ43', 0.2940272518216411]","['2007FM51', 0.40177752618034396]","['2008AQ118', 0.33594896360312837]","['2008SP266', 0.4145905789022157]","['2010RD188', 0.5670173786822991]","['2010TA192', 0.34165687852685583]","['2010TK192', 0.5295332707878891]","['2010VV224', 0.22469323469853006]","['2010VX224', 0.46262008155933415]","['2011CX119', 0.6434557319361978]","['2011UE412', 0.806377766422255]","['2011UK413', 0.5761435973219876]","['2012SB67', 0.2916644237177521]","['2013FH28', 0.5667466869801482]","['2013NK24', 0.605684247271284]","['2013NM24', 0.12573408478027548]","['2014FP43', 0.31682217372334204]","['2014GU53', 0.4230482138870863]","['2014KW101', 0.367993469042566]","['2014NZ65', 0.22023506701779377]","['2014TF86', 0.5842204643884319]","['2014TX85', 0.7464572502326624]","['2014UP224', 0.38480124829747053]","['2014WG509', 0.5171598743063585]","['2014WJ509', 0.5937231189364766]","['2014WU509', 0.4412645467086474]","['2014WV509', 0.45810237421075173]","['2014YB50', 0.7762113018372081]","['2015CL62', 0.3239440445041029]","['2015FN345', 0.48742498152928637]","['2015GO50', 0.33020449214973724]","['2015OV79', 0.3315391086106046]","['2015PF312', 0.3482902431042421]"
"['15810', 0.45866482440264406]","['19299', 0.23362194938766662]","['69990', 0.46895405515395]","['79969', 0.5592930849917518]","['131697', 0.15791165961573211]","['143685', 0.07344420740035092]","['143751', 0.3063354396524934]","['168700', 0.6418573544148586]","['169071', 0.20763002244243597]","['385185', 0.6056192918363802]","['1994ES2', 0.47080467038773766]","['1995DB2', 0.4597666923070641]","['1995HM5', 0.22993116485967516]","['1998UR43', 0.4016230211785914]","['1998WS31', 0.27978001364891086]","['1999CM119', 0.3385161311359551]","['1999CM158', 0.3833117623006948]","['1999KR18', 0.16380571895238832]","['1999RR215', 0.11289439328639489]","['2000PA30', 0.2192912317663186]","['2000PN30', 0.1710446745828432]","['2000PX29', 0.48419478338386795]","['2000YE2', 0.31861704310280575]","['2002CE251', 0.2907209758775827]","['2002VD138', 0.43172185688514836]","['2003HD57', 0.16884377454146587]","['2003SO317', 0.39592286760140494]","['2003WA191', 0.5720879230338122]","['2004EJ96', 0.3121613711792733]","['2004KC19', 0.22457496299855192]","['2004MS8', 0.5195753796410408]","['2004VY130', 0.08969576360088068]","['2006TO130', 0.3439380133160267]","['2009DS143', 0.4914456228424224]","['2010TJ182', 0.2975859357878359]","['2010TT191', 0.4286770442310051]","['2011JX31', 0.29690848680231585]","['2011UC411', 0.37947201559227417]","['2011UC412', 0.30436812946294406]","['2011UG412', 0.2591508144542256]","['2011UP410', 0.3836346797909132]","['2011US412', 0.43597601686598747]","['2011UV410', 0.09641093623936205]","['2011UV411', 0.4009490481053796]","['2011UW410', 0.5257032451078361]","['2011UW411', 0.4539413204200072]","['2011UY411', 0.2786712124010981]","['2013GD138', 0.20348915467515696]","['2013GL137', 0.5437245290403118]","['2013GR136', 0.26547316073794763]","['2013GU136', 0.5080825569776098]","['2013GY137', 0.4120567514187551]","['2013HW156', 0.47459679045603126]","['2013JE64', 0.5642970472974339]","['2013JS64', 0.4948774025661751]","['2013JT65', 0.3992303211492318]","['2014FB62', 0.32350156628751864]","['2014SK349', 0.377833205095009]"
"['88268', 0.15188914211042598]","['134860', 1.033658274811297]","['420356', 0.9125449410732602]","['469610', 0.08806719418990491]","['1996TK66', 0.6290350815186695]","['1997CT29', 0.4060623855923024]","['1999HS11', 0.3831242701673696]","['2000OH67', 0.6823308111817219]","['2000WT169', 0.42155022737141584]","['2001OQ108', 0.20659086214004208]","['2002FW36', 0.48024903119621554]","['2002PV170', 0.2873447201868418]","['2003HG57', 0.5739714554738461]","['2003QL91', 0.7230997485116775]","['2003YN179', 0.6370015589213278]","['2009UF156', 0.6748977959755694]","['2010TF192', 0.38674713317212245]","['2012DZ98', 0.29643602062376373]","['2014TD86', 0.9814471437798057]","['2014TW85', 0.48372242438046015]"
"['19255', 0.2390330827060731]","['69987', 0.14001907147465018]","['85633', 0.4353503485374404]","['88267', 0.4773538097882465]","['129772', 0.30246490809317844]","['148112', 0.382507158045524]","['434194', 0.25390297802626477]","['444018', 0.44989542455922343]","['468422', 0.3239931832616242]","['1998KS65', 0.5404422925953832]","['1998WV24', 0.32336488052217244]","['1998WX24', 0.6099628448412203]","['1999CH154', 0.6218538746369379]","['1999HH12', 0.2664638173645188]","['1999OJ4', 0.5211915944544236]","['1999RV214', 0.6731066842163974]","['1999RW214', 0.17947210500209734]","['2000CN114', 0.38844071914739564]","['2000GY146', 0.6781066620515066]","['2000PC30', 0.377900389442834]","['2000PD30', 0.38004832004069966]","['2000WV12', 0.32064294570925]","['2000YB2', 0.31976533829442794]","['2000YV1', 0.23085097126904183]","['2001FK185', 0.15137851127548962]","['2001KF76', 0.07787047609527122]","['2001OK108', 0.3989113307215448]","['2001QW322', 0.6833705671571644]","['2001XX254', 0.6104825967438818]","['2002CD251', 0.30304554127120104]","['2002CS154', 0.36261549843696855]","['2002PX170', 0.28835998402503077]","['2003FA130', 0.4947499483194774]","['2003QD91', 0.32331113018831753]","['2003QF91', 0.3821110585163846]","['2003QG91', 0.11133513363852225]","['2003QX90', 0.5167455002060922]","['2003QY111', 0.47344582393797136]","['2003UN284', 0.2715761481162698]","['2003YL179', 0.3054314410958]","['2003YS179', 0.5802851524517291]","['2003YT179', 0.03366198454194027]","['2004DM71', 0.4944140472924381]","['2004HG79', 0.5710307003618744]","['2004KD19', 0.239898278875595]","['2004KG19', 0.2048766786584621]","['2004LW31', 0.27062762201543317]","['2004PU117', 0.38330549164216693]","['2004PX107', 0.5276810659116067]","['2004UD10', 0.5789464664811969]","['2005GD187', 0.4232017224771755]","['2005GX186', 0.39271435353257517]","['2006HA123', 0.34527118833171083]","['2006WF206', 0.5680631557703706]","['2012DA99', 0.5420133367574109]","['2013GF138', 0.2965698589179592]","['2013GP137', 0.23848445313043076]","['2013HT156', 0.5499421561833583]","['2013UO15', 0.4892327636647178]"
"['15809', 0.3994613212917574]","['24952', 0.41259518874911694]","['118378', 0.4249038001159953]","['135742', 0.3749578318622985]","['181868', 0.3297034931748641]","['182222', 0.4767456408587493]","['415720', 0.00848957922409374]","['434709', 0.6419861497126242]","['469420', 0.4200296429930652]","['469707', 0.24133438184260234]","['1996KV1', 0.14953208791971895]","['1997CV29', 0.10849872158437276]","['1999CX131', 0.40937771549264845]","['1999HG12', 0.146735232673717]","['1999JD132', 0.35881548982823286]","['1999RK215', 0.43189391154708956]","['2000FF8', 0.32463320863017664]","['2000PG30', 0.5029747683677481]","['2000PL30', 0.20854979349691377]","['2000WM183', 0.21844622111519657]","['2000YZ1', 0.24527124811374573]","['2001KW76', 0.45001556945812754]","['2001PK47', 0.3156135214043599]","['2001QH298', 0.4027716220813125]","['2002CT154', 0.42428445524972386]","['2002CZ154', 0.27713436174375794]","['2002FW6', 0.5673788885521593]","['2002GE32', 0.3116425923757655]","['2002GH166', 0.42161472277378825]","['2002GL32', 0.6015938691790543]","['2002GS32', 0.08527865251401642]","['2003QN91', 0.16444346564505904]","['2003QS91', 0.4598781458105937]","['2003SR317', 0.26302596507469767]","['2003UV292', 0.48135993912530434]","['2003UZ291', 0.22054318291507477]","['2003YR179', 0.3971621705087709]","['2003YV179', 0.39759273785483706]","['2004EV95', 0.29997816720074494]","['2004HH79', 0.38362446335605516]","['2004HN79', 0.43528180366062014]","['2004KB19', 0.15751165978141649]","['2004KK19', 0.17078131975353203]","['2004PZ107', 0.415497632481954]","['2004QH29', 0.05653039669655036]","['2004VS75', 0.4145257116370029]","['2005ER318', 0.5213748086218175]","['2005EZ300', 0.060706666435503535]","['2005GA187', 0.3298873892959989]","['2005GC187', 0.45084964038073805]","['2005SE278', 0.19504556657489996]","['2005SF278', 0.4744016533231857]","['2006HN122', 0.4295777071438976]","['2006HP122', 0.11864593416732466]","['2006QQ180', 0.337666849583719]","['2006QR181', 0.11988491548121498]","['2006SE415', 0.5208568075474211]","['2006UZ184', 0.15391585913998523]","['2006WG206', 0.43905382804368326]","['2009DL143', 0.5006708679120891]","['2009DR143', 0.269965861183751]","['2011UD411', 0.17511663405633693]","['2011UK411', 0.4048516333686684]","['2011UM411', 0.2710105947745129]","['2011XJ4', 0.25352290629147317]","['2012BV154', 0.18287579425382422]","['2012BY154', 0.4409863215219108]","['2012DX98', 0.1549509403490544]","['2012TD324', 0.43617269363727257]","['2012YO9', 0.4757672406329594]","['2013GT137', 0.5368500391992298]","['2013JR65', 0.63848956544568]","['2013RD98', 0.4773970613122166]","['2014GF54', 0.27502513285023206]","['2014GJ54', 0.5536913404746479]","['2014GY53', 0.43990794082874557]","['2014HD200', 0.6367599783640815]","['2014HT199', 0.026895245013256245]","['2014HX199', 0.19670019045801754]","['2014JT80', 0.026580991584345886]","['2014KC102', 0.1938566815342877]","['2014KV101', 0.3925724291477874]","['2014RQ63', 0.2999030058631054]","['2014UU224', 0.2952216486270735]","['2014WP510', 0.469902676922162]","['2014WR510', 0.2847319240822585]","['2014XT40', 0.2210655334100854]","['2014YG50', 0.45311460821550525]","['2015BU518', 0.40831881036688084]","['2015GQ50', 0.4511208794933147]"
"['134340', 1.1439671127539206]","['136108', 0.5294605525046849]","['136472', 0.6966585532250033]"
